Wells: 384
Plates: 8
Plate	Well	Content
6	H09	sample
6	I01	sample
6	I10	sample
6	I11	sample
6	I12	sample
6	I13	sample
6	I14	sample
6	I15	sample
6	I16	sample
6	I17	sample
6	I18	sample
6	I19	sample
6	I02	sample
6	I20	sample
6	I21	sample
6	I22	sample
6	I03	sample
6	I04	sample
6	I05	sample
6	I06	sample
6	I07	sample
6	I08	sample
6	I09	sample
6	J01	sample
6	J10	sample
6	J11	sample
6	J12	sample
6	J13	sample
6	J14	sample
6	J15	sample
6	J16	sample
6	J17	sample
6	J18	sample
6	J19	sample
6	J02	sample
6	J20	sample
6	J21	sample
6	J22	sample
6	J03	sample
6	J04	sample
6	J05	sample
6	J06	sample
6	J07	sample
6	J08	sample
6	J09	sample
6	K01	sample
6	K10	sample
6	K11	sample
6	K12	sample
6	K13	sample
6	K14	sample
6	K15	sample
6	K16	sample
6	K17	sample
6	K18	sample
6	K19	sample
6	K02	sample
6	K20	sample
6	K21	sample
6	K22	sample
6	K03	sample
6	K04	sample
6	K05	sample
6	K06	sample
6	K07	sample
6	K08	sample
6	K09	sample
6	L01	sample
6	L10	sample
6	L11	sample
6	L12	sample
6	L13	sample
6	L14	sample
6	L15	sample
6	L16	sample
6	L17	sample
6	L18	sample
6	L19	sample
6	L02	sample
6	L20	sample
6	L21	sample
6	L22	sample
6	L03	sample
6	L04	sample
6	L05	sample
6	L06	sample
6	L07	sample
6	L08	sample
6	L09	sample
6	M01	sample
6	M10	sample
6	M11	sample
6	M12	sample
6	M13	sample
6	M14	sample
6	M15	sample
6	M16	sample
6	M17	sample
6	M18	sample
6	M19	sample
6	M02	sample
6	M20	sample
6	M21	sample
6	M22	sample
6	M03	sample
6	M04	sample
6	M05	sample
6	M06	sample
6	M07	sample
6	M08	sample
6	M09	sample
6	N01	sample
6	N10	sample
6	N11	sample
6	N12	sample
6	N13	sample
6	N14	sample
6	N15	sample
6	N16	sample
6	N17	sample
6	N18	sample
6	N19	sample
6	N02	sample
6	N20	sample
6	N21	sample
6	N22	sample
6	N03	sample
6	N04	sample
6	N05	sample
6	N06	sample
6	N07	sample
6	N08	sample
6	N09	sample
6	O01	sample
6	O10	sample
6	O11	sample
6	O12	sample
6	O13	sample
6	O14	sample
6	O15	sample
6	O16	sample
6	O17	sample
6	O18	sample
6	O19	sample
6	O02	sample
6	O20	sample
6	O21	sample
6	O22	sample
6	O03	sample
6	O04	sample
6	O05	sample
6	O06	sample
6	O07	sample
6	O08	sample
6	O09	sample
6	P01	sample
6	P10	sample
6	P11	sample
6	P13	sample
6	P15	sample
6	P17	sample
6	P19	sample
6	P02	sample
6	P21	sample
6	P03	sample
6	P04	sample
6	P05	sample
6	P06	sample
6	P07	sample
6	P08	sample
6	P09	sample
7	A01	sample
7	A10	sample
7	A11	sample
7	A12	sample
7	A13	sample
7	A14	sample
7	A15	sample
7	A16	sample
7	A17	sample
7	A18	sample
7	A19	sample
7	A02	sample
7	A20	sample
7	A21	sample
7	A22	sample
7	A03	sample
7	A04	sample
7	A05	sample
7	A06	sample
7	A07	sample
7	A08	sample
7	A09	sample
7	B01	sample
7	B10	sample
7	B11	sample
7	B12	sample
7	B13	sample
7	B14	sample
7	B15	sample
7	B16	sample
7	B17	sample
7	B18	sample
7	B19	sample
7	B02	sample
7	B20	sample
7	B21	sample
7	B22	sample
7	B03	sample
7	B04	sample
7	B05	sample
7	B06	sample
7	B07	sample
7	B08	sample
7	B09	sample
7	C01	sample
7	C10	sample
7	C11	sample
7	C12	sample
7	C13	sample
7	C14	sample
7	C15	sample
7	C16	sample
7	C17	sample
7	C18	sample
7	C19	sample
7	C02	sample
7	C20	sample
7	C21	sample
7	C22	sample
7	C03	sample
7	C04	sample
7	C05	sample
7	C06	sample
7	C07	sample
7	C08	sample
7	C09	sample
7	D01	sample
7	D10	sample
7	D11	sample
7	D12	sample
7	D13	sample
7	D14	sample
7	D15	sample
7	D16	sample
7	D17	sample
7	D18	sample
7	D19	sample
7	D02	sample
7	D20	sample
7	D21	sample
7	D22	sample
7	D03	sample
7	D04	sample
7	D05	sample
7	D06	sample
7	D07	sample
7	D08	sample
7	D09	sample
7	E01	sample
7	E10	sample
7	E11	sample
7	E12	sample
7	E13	sample
7	E14	sample
7	E15	sample
7	E16	sample
7	E17	sample
7	E18	sample
7	E19	sample
7	E02	sample
7	E20	sample
7	E21	sample
7	E22	sample
7	E03	sample
7	E04	sample
7	E05	sample
7	E06	sample
7	E07	sample
7	E08	sample
7	E09	sample
7	F01	sample
7	F10	sample
7	F11	sample
7	F12	sample
7	F13	sample
7	F14	sample
7	F15	sample
7	F16	sample
7	F17	sample
7	F18	sample
7	F19	sample
7	F02	sample
7	F20	sample
7	F21	sample
7	F22	sample
7	F03	sample
7	F04	sample
7	F05	sample
7	F06	sample
7	F07	sample
7	F08	sample
7	F09	sample
7	G01	sample
7	G10	sample
7	G11	sample
7	G12	sample
7	G13	sample
7	G14	sample
7	G15	sample
7	G16	sample
7	G17	sample
7	G18	sample
7	G19	sample
7	G02	sample
7	G20	sample
7	G21	sample
7	G22	sample
7	G03	sample
7	G04	sample
7	G05	sample
7	G06	sample
7	G07	sample
7	G08	sample
7	G09	sample
7	H01	sample
7	H10	sample
7	H11	sample
7	H12	sample
7	H13	sample
7	H14	sample
7	H15	sample
7	H16	sample
7	H17	sample
7	H18	sample
7	H19	sample
7	H02	sample
7	H20	sample
7	H21	sample
7	H22	sample
7	H03	sample
7	H04	sample
7	H05	sample
7	H06	sample
7	H07	sample
7	H08	sample
7	H09	sample
7	I01	sample
7	I10	sample
7	I11	sample
7	I12	sample
7	I13	sample
7	I14	sample
7	I15	sample
7	I16	sample
7	I17	sample
7	I18	sample
7	I19	sample
7	I02	sample
7	I20	sample
7	I21	sample
7	I22	sample
7	I03	sample
7	I04	sample
7	I05	sample
7	I06	sample
7	I07	sample
7	I08	sample
7	I09	sample
7	J01	sample
7	J10	sample
7	J11	sample
7	J12	sample
7	J13	sample
7	J14	sample
7	J15	sample
7	J16	sample
7	J17	sample
7	J18	sample
7	J19	sample
7	J02	sample
7	J20	sample
7	J21	sample
7	J22	sample
7	J03	sample
7	J04	sample
7	J05	sample
7	J06	sample
7	J07	sample
7	J08	sample
7	J09	sample
7	K01	sample
7	K10	sample
7	K11	sample
7	K12	sample
7	K13	sample
7	K14	sample
7	K15	sample
7	K16	sample
7	K17	sample
7	K18	sample
7	K19	sample
7	K02	sample
7	K20	sample
7	K21	sample
7	K22	sample
7	K03	sample
7	K04	sample
7	K05	sample
7	K06	sample
7	K07	sample
7	K08	sample
7	K09	sample
7	L01	sample
7	L10	sample
7	L11	sample
7	L12	sample
7	L13	sample
7	L14	sample
7	L15	sample
7	L16	sample
7	L17	sample
7	L18	sample
7	L19	sample
7	L02	sample
7	L20	sample
7	L21	sample
7	L22	sample
7	L03	sample
7	L04	sample
7	L05	sample
7	L06	sample
7	L07	sample
7	L08	sample
7	L09	sample
7	M01	sample
7	M10	sample
7	M11	sample
7	M12	sample
7	M13	sample
7	M14	sample
7	M15	sample
7	M16	sample
7	M17	sample
7	M18	sample
7	M19	sample
7	M02	sample
7	M20	sample
7	M21	sample
7	M22	sample
7	M03	sample
7	M04	sample
7	M05	sample
7	M06	sample
7	M07	sample
7	M08	sample
7	M09	sample
7	N01	sample
7	N10	sample
7	N11	sample
7	N12	sample
7	N13	sample
7	N14	sample
7	N15	sample
7	N16	sample
7	N17	sample
7	N18	sample
7	N19	sample
7	N02	sample
7	N20	sample
7	N21	sample
7	N22	sample
7	N03	sample
7	N04	sample
7	N05	sample
7	N06	sample
7	N07	sample
7	N08	sample
7	N09	sample
7	O01	sample
7	O10	sample
7	O11	sample
7	O12	sample
7	O13	sample
7	O14	sample
7	O15	sample
7	O16	sample
7	O17	sample
7	O18	sample
7	O19	sample
7	O02	sample
7	O20	sample
7	O21	sample
7	O22	sample
7	O03	sample
7	O04	sample
7	O05	sample
7	O06	sample
7	O07	sample
7	O08	sample
7	O09	sample
7	P01	sample
7	P10	sample
7	P11	sample
7	P13	sample
7	P15	sample
7	P17	sample
7	P19	sample
7	P02	sample
7	P21	sample
7	P03	sample
7	P04	sample
7	P05	sample
7	P06	sample
7	P07	sample
7	P08	sample
7	P09	sample
8	A01	sample
8	A10	sample
8	A11	sample
8	A12	sample
8	A13	sample
8	A14	sample
8	A15	sample
8	A16	sample
8	A17	sample
8	A18	sample
8	A19	sample
8	A02	sample
8	A20	sample
8	A21	sample
8	A22	sample
8	A03	sample
8	A04	sample
8	A05	sample
8	A06	sample
8	A07	sample
8	A08	sample
8	A09	sample
8	B01	sample
8	B10	sample
8	B11	sample
8	B12	sample
8	B13	sample
8	B14	sample
8	B15	sample
8	B16	sample
8	B17	sample
8	B18	sample
8	B19	sample
8	B02	sample
8	B20	sample
8	B21	sample
8	B22	sample
8	B03	sample
8	B04	sample
8	B05	sample
8	B06	sample
8	B07	sample
8	B08	sample
8	B09	sample
8	C01	sample
8	C10	sample
8	C11	sample
8	C12	sample
8	C13	sample
8	C14	sample
8	C15	sample
8	C16	sample
8	C17	sample
8	C18	sample
8	C19	sample
8	C02	sample
8	C20	sample
8	C21	sample
8	C22	sample
8	C03	sample
8	C04	sample
8	C05	sample
8	C06	sample
8	C07	sample
8	C08	sample
8	C09	sample
8	D01	sample
8	D10	sample
8	D11	sample
8	D12	sample
8	D13	sample
8	D14	sample
8	D15	sample
8	D16	sample
8	D17	sample
8	D18	sample
8	D19	sample
8	D02	sample
8	D20	sample
8	D21	sample
8	D22	sample
8	D03	sample
8	D04	sample
8	D05	sample
8	D06	sample
8	D07	sample
8	D08	sample
8	D09	sample
8	E01	sample
8	E10	sample
8	E11	sample
8	E12	sample
8	E13	sample
8	E14	sample
8	E15	sample
8	E16	sample
8	E17	sample
8	E18	sample
8	E19	sample
8	E02	sample
8	E20	sample
8	E21	sample
8	E22	sample
8	E03	sample
8	E04	sample
8	E05	sample
8	E06	sample
8	E07	sample
8	E08	sample
8	E09	sample
8	F01	sample
8	F10	sample
8	F11	sample
8	F12	sample
8	F13	sample
8	F14	sample
8	F15	sample
8	F16	sample
8	F17	sample
8	F18	sample
8	F19	sample
8	F02	sample
8	F20	sample
8	F21	sample
8	F22	sample
8	F03	sample
8	F04	sample
8	F05	sample
8	F06	sample
8	F07	sample
8	F08	sample
8	F09	sample
8	G01	sample
8	G10	sample
8	G11	sample
8	G12	sample
8	G13	sample
8	G14	sample
8	G15	sample
8	G16	sample
8	G17	sample
8	G18	sample
8	G19	sample
8	G02	sample
8	G20	sample
8	G21	sample
8	G22	sample
8	G03	sample
8	G04	sample
8	G05	sample
8	G06	sample
8	G07	sample
8	G08	sample
8	G09	sample
8	H01	sample
8	H10	sample
8	H11	sample
8	H12	sample
8	H13	sample
8	H14	sample
8	H15	sample
8	H16	sample
8	H17	sample
8	H18	sample
8	H19	sample
8	H02	sample
8	H20	sample
8	H21	sample
8	H22	sample
8	H03	sample
8	H04	sample
8	H05	sample
8	H06	sample
8	H07	sample
8	H08	sample
8	H09	sample
8	I01	sample
8	I10	sample
8	I11	sample
8	I12	sample
8	I13	sample
8	I14	sample
8	I15	sample
8	I16	sample
8	I17	sample
8	I18	sample
8	I19	sample
8	I02	sample
8	I20	sample
8	I21	sample
8	I22	sample
8	I03	sample
8	I04	sample
8	I05	sample
8	I06	sample
8	I07	sample
8	I08	sample
8	I09	sample
8	J01	sample
8	J10	sample
8	J11	sample
8	J12	sample
8	J13	sample
8	J14	sample
8	J15	sample
8	J16	sample
8	J17	sample
8	J18	sample
8	J19	sample
8	J02	sample
8	J20	sample
8	J21	sample
8	J22	sample
8	J03	sample
8	J04	sample
8	J05	sample
8	J06	sample
8	J07	sample
8	J08	sample
8	J09	sample
8	K01	sample
8	K10	sample
8	K11	sample
8	K12	sample
8	K13	sample
8	K14	sample
8	K15	sample
8	K16	sample
8	K17	sample
8	K18	sample
8	K19	sample
8	K02	sample
8	K20	sample
8	K21	sample
8	K22	sample
8	K03	sample
8	K04	sample
8	K05	sample
8	K06	sample
8	K07	sample
8	K08	sample
8	K09	sample
8	L01	sample
8	L10	sample
8	L11	sample
8	L12	sample
8	L13	sample
8	L14	sample
8	L15	sample
8	L16	sample
8	L17	sample
8	L18	sample
8	L19	sample
8	L02	sample
8	L20	sample
8	L21	sample
8	L22	sample
8	L03	sample
8	L04	sample
8	L05	sample
8	L06	sample
8	L07	sample
8	L08	sample
8	L09	sample
8	M01	sample
8	M10	sample
8	M11	sample
8	M12	sample
8	M13	sample
8	M14	sample
8	M15	sample
8	M16	sample
8	M17	sample
8	M18	sample
8	M19	sample
8	M02	sample
8	M20	sample
8	M21	sample
8	M22	sample
8	M03	sample
8	M04	sample
8	M05	sample
8	M06	sample
8	M07	sample
8	M08	sample
8	M09	sample
8	N01	sample
8	N10	sample
8	N11	sample
8	N12	sample
8	N13	sample
8	N14	sample
8	N15	sample
8	N16	sample
8	N17	sample
8	N18	sample
8	N19	sample
8	N02	sample
8	N20	sample
8	N21	sample
8	N22	sample
8	N03	sample
8	N04	sample
8	N05	sample
8	N06	sample
8	N07	sample
8	N08	sample
8	N09	sample
8	O01	sample
8	O10	sample
8	O11	sample
8	O12	sample
8	O13	sample
8	O14	sample
8	O15	sample
8	O16	sample
8	O17	sample
8	O18	sample
8	O19	sample
8	O02	sample
8	O20	sample
8	O21	sample
8	O22	sample
8	O03	sample
8	O04	sample
8	O05	sample
8	O06	sample
8	O07	sample
8	O08	sample
8	O09	sample
8	P01	sample
8	P10	sample
8	P11	sample
8	P13	sample
8	P15	sample
8	P17	sample
8	P19	sample
8	P02	sample
8	P21	sample
8	P03	sample
8	P04	sample
8	P05	sample
8	P06	sample
8	P07	sample
8	P08	sample
8	P09	sample
