GeneID	Plate	Well	Score	RSARank	ScoreRank	PValue	RSAHit	#HitWell	#TotalWell	%HitWell	i.GeneID	GeneSymbol	siRNAID
10982	7	B02	-0.77	183	768	0.0416666576530105	1	3	3	100	10982	MAPRE2	s21622
10982	6	B02	-0.51	184	985	0.0416666576530105	1	3	3	100	10982	MAPRE2	s21621
54014	2	F11	-1.55	185	346	0.0417377348386427	1	3	3	100	54014	BRWD1	s226762
54014	1	F11	-1.55	186	347	0.0417377348386427	1	3	3	100	54014	BRWD1	s28830
5685	8	I04	-1.64	187	302	0.0419655279570624	1	3	3	100	5685	PSMA4	s230031
5685	7	I04	-1.54	188	352	0.0419655279570624	1	3	3	100	5685	PSMA4	s230030
100137047	4	C20	-1.61	192	317	0.0433439751262029	1	3	3	100	100137047	JMJD7	s230103
100137047	5	C20	-1.52	193	357	0.0433439751262029	1	3	3	100	100137047	JMJD7	s230105
11177	2	K20	-1.3	194	445	0.0437260270894093	1	3	3	100	11177	BAZ1A	s22061
11177	3	K20	-0.7	195	821	0.0437260270894093	1	3	3	100	11177	BAZ1A	s22059
11177	1	K20	-0.49	196	999	0.0437260270894093	1	3	3	100	11177	BAZ1A	s22060
3687	6	N11	-3.6	197	51	0.04385694333818	1	3	3	100	3687	ITGAX	s7571
3687	7	N11	-0.93	198	663	0.04385694333818	1	3	3	100	3687	ITGAX	s7572
3687	8	N11	-0.49	199	1000	0.04385694333818	1	3	3	100	3687	ITGAX	s7573
51720	4	K22	-2.18	201	179	0.0442740336362857	1	3	3	100	51720	UIMC1	s28573
51720	5	K22	-1.51	202	361	0.0442740336362857	1	3	3	100	51720	UIMC1	s28574
4152	3	G21	-0.82	204	730	0.0450469679989608	1	3	3	100	4152	MBD1	s8549
4152	2	G21	-0.72	205	804	0.0450469679989608	1	3	3	100	4152	MBD1	s8547
4152	1	G21	-0.48	206	1007	0.0450469679989608	1	3	3	100	4152	MBD1	s8548
1643	4	G12	-0.96	207	638	0.0451805064416455	1	3	3	100	1643	DDB2	s223391
1643	5	G12	-0.75	208	787	0.0451805064416455	1	3	3	100	1643	DDB2	s3983
1643	5	H11	-0.48	209	1008	0.0451805064416455	1	3	3	100	1643	DDB2	s3984
55193	2	H15	-0.89	212	688	0.0463942478518426	1	3	3	100	55193	PBRM1	s30401
55193	1	H15	-0.65	213	871	0.0463942478518426	1	3	3	100	55193	PBRM1	s30402
55193	3	H15	-0.46	214	1022	0.0463942478518426	1	3	3	100	55193	PBRM1	s30400
2146	2	E11	-0.57	215	936	0.0468036067730487	1	3	3	100	2146	EZH2	s4918
2146	1	E11	-0.56	216	943	0.0468036067730487	1	3	3	100	2146	EZH2	s4917
2146	3	E11	-0.46	217	1023	0.0468036067730487	1	3	3	100	2146	EZH2	s4916
60	7	C12	-2.25	218	171	0.0473531546551281	1	3	3	100	60	ACTB	s230681
60	6	C12	-1.44	219	388	0.0473531546551281	1	3	3	100	60	ACTB	s230680
60	8	C12	-0.46	220	1024	0.0473531546551281	1	3	3	100	60	ACTB	s230682
10498	3	I14	-1.48	221	374	0.0478401783579015	1	2	3	67	10498	CARM1	s20578
10498	1	I14	-1.47	222	375	0.0478401783579015	1	2	3	67	10498	CARM1	s20579
80816	4	O01	-2.04	223	210	0.049452257934596	1	3	3	100	80816	ASXL3	s37401
80816	4	P01	-0.46	224	1025	0.049452257934596	1	3	3	100	80816	ASXL3	s37403
80816	5	O01	-0.45	225	1036	0.049452257934596	1	3	3	100	80816	ASXL3	s37402
6856	7	L08	-2.75	227	97	0.0497923241140799	1	3	3	100	6856	SYPL1	s13692
6856	8	L08	-1.46	228	379	0.0497923241140799	1	3	3	100	6856	SYPL1	s13693
56981	3	L03	-2.3	230	151	0.0498793866722288	1	3	3	100	56981	PRDM11	s32525
56981	2	L03	-1.15	231	512	0.0498793866722288	1	3	3	100	56981	PRDM11	s32526
56981	1	L03	-0.44	232	1047	0.0498793866722288	1	3	3	100	56981	PRDM11	s32527
54617	4	J13	-1.51	235	362	0.0529383483890651	1	3	3	100	54617	INO80	s224309
54617	5	I13	-0.78	236	759	0.0529383483890651	1	3	3	100	54617	INO80	s224310
54617	4	I13	-0.42	237	1064	0.0529383483890651	1	3	3	100	54617	INO80	s224308
8295	4	I10	-1.25	239	468	0.0542867148208628	1	3	3	100	8295	TRRAP	s15797
8295	5	I10	-0.7	240	822	0.0542867148208628	1	3	3	100	8295	TRRAP	s15798
8295	5	J09	-0.41	241	1073	0.0542867148208628	1	3	3	100	8295	TRRAP	s15796
3703	7	D10	-1.21	243	487	0.0547412061584882	1	3	3	100	3703	STT3A	s7617
3703	8	D10	-1.1	244	544	0.0547412061584882	1	3	3	100	3703	STT3A	s7618
3703	6	D10	-0.41	245	1074	0.0547412061584882	1	3	3	100	3703	STT3A	s7616
79152	8	M17	-3.49	247	53	0.0548150412628954	1	2	3	67	79152	FA2H	s35633
400966	6	K08	-2.65	248	107	0.0553382229006667	1	2	3	67	400966	RGPD1	s53432
400966	8	K08	-1.39	249	406	0.0553382229006667	1	2	3	67	400966	RGPD1	s229372
5580	3	N14	-1.16	250	508	0.0553511308029637	1	3	3	100	5580	PRKCD	s11098
5580	2	N14	-0.59	251	912	0.0553511308029637	1	3	3	100	5580	PRKCD	s11100
5580	1	N14	-0.4	252	1086	0.0553511308029637	1	3	3	100	5580	PRKCD	s11099
23304	4	K08	-2.16	253	186	0.0555043165893188	1	3	3	100	23304	UBR2	s23513
23304	5	K08	-0.71	254	810	0.0555043165893188	1	3	3	100	23304	UBR2	s23514
23304	5	L07	-0.4	255	1087	0.0555043165893188	1	3	3	100	23304	UBR2	s23512
5903	8	J14	-3.48	256	54	0.0558295510576044	1	2	3	67	5903	RANBP2	s11775
5931	1	K11	-1.39	257	407	0.0558551713351956	1	3	3	100	5931	RBBP7	s11846
5931	3	K11	-1.39	258	408	0.0558551713351956	1	3	3	100	5931	RBBP7	s11848
90780	1	D22	-0.87	259	703	0.0562744862729769	1	3	3	100	90780	PYGO2	s40488
90780	2	D22	-0.77	260	769	0.0562744862729769	1	3	3	100	90780	PYGO2	s40489
90780	3	D22	-0.4	261	1088	0.0562744862729769	1	3	3	100	90780	PYGO2	s40490
3720	3	G19	-1.3	262	446	0.0564293701801502	1	3	3	100	3720	JARID2	s7657
3720	1	G19	-0.6	263	901	0.0564293701801502	1	3	3	100	3720	JARID2	s7655
3720	2	G19	-0.4	264	1089	0.0564293701801502	1	3	3	100	3720	JARID2	s7656
546	1	A09	-1.57	266	341	0.0568957265227213	1	3	3	100	546	ATRX	s1826
546	3	A09	-0.57	267	937	0.0568957265227213	1	3	3	100	546	ATRX	s1824
546	2	A09	-0.39	268	1096	0.0568957265227213	1	3	3	100	546	ATRX	s1825
4174	8	M15	-3.47	270	56	0.0578563922890042	1	1	3	33	4174	MCM5	s8597
79828	1	P03	-0.63	271	886	0.0581518897522576	1	3	3	100	79828	METTL8	s36424
79828	3	P03	-0.56	272	944	0.0581518897522576	1	3	3	100	79828	METTL8	s36425
79828	2	P03	-0.38	273	1102	0.0581518897522576	1	3	3	100	79828	METTL8	s36423
6599	2	P02	-1.97	275	226	0.0586276758525558	1	3	3	100	6599	SMARCC1	s13145
6599	3	P02	-1.93	276	234	0.0586276758525558	1	3	3	100	6599	SMARCC1	s13146
6599	1	P02	-0.38	277	1103	0.0586276758525558	1	3	3	100	6599	SMARCC1	s13147
1787	1	C13	-1.59	279	329	0.0597992941941135	1	3	3	100	1787	TRDMT1	s4219
1787	2	C13	-1.35	280	423	0.0597992941941135	1	3	3	100	1787	TRDMT1	s4218
8878	8	O09	-1.42	284	398	0.0623618710929077	1	3	3	100	8878	SQSTM1	s16962
8878	7	O09	-1.13	285	525	0.0623618710929077	1	3	3	100	8878	SQSTM1	s16961
8878	6	O09	-0.35	286	1129	0.0623618710929077	1	3	3	100	8878	SQSTM1	s16960
29058	7	P05	-2.88	288	86	0.0633122404904257	1	3	3	100	29058	TMEM230	s26403
29058	8	P05	-1.32	289	435	0.0633122404904257	1	3	3	100	29058	TMEM230	s26404
8473	2	A18	-0.87	290	704	0.0633614196917807	1	3	3	100	8473	OGT	s16095
8473	3	A18	-0.83	291	725	0.0633614196917807	1	3	3	100	8473	OGT	s16094
8473	1	A18	-0.35	292	1130	0.0633614196917807	1	3	3	100	8473	OGT	s16093
4998	2	N08	-3.26	296	65	0.0669412864048501	1	1	3	33	4998	ORC1L	s9893
79831	2	P05	-1.5	299	366	0.0680367974206211	1	3	3	100	79831	JMJD5	s36432
79831	1	P05	-1.29	300	452	0.0680367974206211	1	3	3	100	79831	JMJD5	s36433
6595	3	K21	-1.69	301	285	0.0683433515198685	1	3	3	100	6595	SMARCA2	s13134
6595	2	K21	-0.65	302	872	0.0683433515198685	1	3	3	100	6595	SMARCA2	s13133
6595	1	K21	-0.33	303	1154	0.0683433515198685	1	3	3	100	6595	SMARCA2	s13135
93973	6	J15	-0.71	306	811	0.0695837805458835	1	3	3	100	93973	ACTR8	s41201
93973	7	J15	-0.33	307	1155	0.0695837805458835	1	3	3	100	93973	ACTR8	s41202
93973	8	J15	-0.32	308	1167	0.0695837805458835	1	3	3	100	93973	ACTR8	s41203
60343	6	K20	-0.83	309	726	0.0710196871729369	1	3	3	100	60343	FAM3A	s34046
60343	7	K20	-0.54	310	958	0.0710196871729369	1	3	3	100	60343	FAM3A	s34047
60343	8	K20	-0.31	311	1178	0.0710196871729369	1	3	3	100	60343	FAM3A	s34048
5119	8	G14	-3.31	312	62	0.0715632030989816	1	3	3	100	5119	CHMP1A	s194678
5119	7	G14	-0.77	313	770	0.0715632030989816	1	3	3	100	5119	CHMP1A	s10143
5119	6	G14	-0.31	314	1179	0.0715632030989816	1	3	3	100	5119	CHMP1A	s10142
387103	8	M21	-1.61	318	318	0.0731981065531141	1	3	3	100	387103	C6orf173	s51838
387103	6	M21	-1.24	319	472	0.0731981065531141	1	3	3	100	387103	C6orf173	s51836
3937	6	O03	-2.09	322	198	0.0740740009633075	1	3	3	100	3937	LCP2	s8118
3937	7	O03	-1.24	323	473	0.0740740009633075	1	3	3	100	3937	LCP2	s8119
64324	1	N05	-1.69	325	286	0.0745088402770949	1	3	3	100	64324	NSD1	s34630
64324	2	N05	-1.46	326	380	0.0745088402770949	1	3	3	100	64324	NSD1	s34629
64324	3	N05	-0.29	327	1191	0.0745088402770949	1	3	3	100	64324	NSD1	s34631
2648	2	E19	-1.58	328	335	0.0746955792251578	1	3	3	100	2648	KAT2A	s5658
2648	1	E19	-1.25	329	469	0.0746955792251578	1	3	3	100	2648	KAT2A	s5659
2648	3	E19	-0.29	330	1192	0.0746955792251578	1	3	3	100	2648	KAT2A	s5657
25988	5	H03	-0.48	334	1009	0.0769608375554755	1	3	3	100	25988	HINFP	s24884
25988	5	G04	-0.31	335	1180	0.0769608375554755	1	3	3	100	25988	HINFP	s24885
25988	4	G04	-0.27	336	1211	0.0769608375554755	1	3	3	100	25988	HINFP	s24883
10524	3	I16	-0.75	337	788	0.0781104416885935	1	3	3	100	10524	KAT5	s20629
10524	1	I16	-0.29	338	1193	0.0781104416885935	1	3	3	100	10524	KAT5	s20631
10524	2	I16	-0.27	339	1212	0.0781104416885935	1	3	3	100	10524	KAT5	s20630
5630	6	E22	-1.46	340	381	0.0791208846776496	1	3	3	100	5630	PRPH	s11230
5630	8	E22	-1.2	341	490	0.0791208846776496	1	3	3	100	5630	PRPH	s11232
7586	8	A08	-1.73	342	274	0.079422147067374	1	3	3	100	7586	ZKSCAN1	s15083
7586	6	A08	-1.2	343	491	0.079422147067374	1	3	3	100	7586	ZKSCAN1	s15081
9759	2	G06	-1.44	344	389	0.0794660480796905	1	3	3	100	9759	HDAC4	s18837
9759	3	G06	-1.03	345	583	0.0794660480796905	1	3	3	100	9759	HDAC4	s227490
9759	1	G06	-0.26	346	1219	0.0794660480796905	1	3	3	100	9759	HDAC4	s57938
9869	1	G10	-0.94	351	654	0.0816278279039214	1	3	3	100	9869	SETDB1	s19112
9869	3	G10	-0.46	352	1026	0.0816278279039214	1	3	3	100	9869	SETDB1	s19110
9869	2	G10	-0.24	353	1235	0.0816278279039214	1	3	3	100	9869	SETDB1	s19111
80853	2	B04	-1.58	354	336	0.0828233351210603	1	3	3	100	80853	JHDM1D	s37450
80853	1	B04	-1.41	355	399	0.0828233351210603	1	3	3	100	80853	JHDM1D	s37448
80853	3	B04	-0.24	356	1236	0.0828233351210603	1	3	3	100	80853	JHDM1D	s37449
124359	5	A14	-1.36	357	416	0.0836267898968253	1	3	3	100	124359	CDYL2	s42723
124359	4	A14	-0.97	358	629	0.0836267898968253	1	3	3	100	124359	CDYL2	s42724
124359	5	B13	-0.23	359	1244	0.0836267898968253	1	3	3	100	124359	CDYL2	s42725
129401	7	E10	-3.25	360	67	0.0836904183356803	1	3	3	100	129401	NUP35	s43401
129401	6	E10	-1.17	361	505	0.0836904183356803	1	3	3	100	129401	NUP35	s43400
255330	6	C15	-1.49	362	371	0.0842327790403506	1	3	3	100	255330	C3orf46	s48651
255330	8	C15	-0.78	363	760	0.0842327790403506	1	3	3	100	255330	C3orf46	s48653
255330	7	C15	-0.23	364	1245	0.0842327790403506	1	3	3	100	255330	C3orf46	s48652
9688	6	A16	-1.47	366	376	0.0846172563704216	1	2	3	67	9688	NUP93	s18653
9688	8	A16	-1.16	367	509	0.0846172563704216	1	2	3	67	9688	NUP93	s18655
4927	8	K01	-3.57	369	52	0.0854535256214382	1	3	3	100	4927	NUP88	s9781
4927	7	K01	-2.13	370	192	0.0854535256214382	1	3	3	100	4927	NUP88	s9780
4927	6	K01	-0.23	371	1246	0.0854535256214382	1	3	3	100	4927	NUP88	s9779
9883	8	L02	-1.6	372	322	0.0855483720783679	1	3	3	100	9883	POM121	s19145
9883	7	L02	-1.15	373	513	0.0855483720783679	1	3	3	100	9883	POM121	s19144
80349	1	B02	-3.77	376	47	0.0889988339767988	1	2	3	67	80349	WDR61	s37275
80349	2	B02	-1.14	377	519	0.0889988339767988	1	2	3	67	80349	WDR61	s228242
55585	8	L17	-2.29	379	157	0.090267624298575	1	2	3	67	55585	UBE2Q1	s31021
55585	6	L17	-1.13	380	526	0.090267624298575	1	2	3	67	55585	UBE2Q1	s31019
55209	3	H17	-3.1	384	73	0.0932429743008543	1	3	3	100	55209	SETD5	s30446
55209	1	H17	-0.28	385	1201	0.0932429743008543	1	3	3	100	55209	SETD5	s30444
55209	2	H17	-0.2	386	1284	0.0932429743008543	1	3	3	100	55209	SETD5	s30445
112885	5	B07	-2.4	388	139	0.0944425064621467	1	3	3	100	112885	PHF21B	s41395
112885	5	A08	-1.11	389	537	0.0944425064621467	1	3	3	100	112885	PHF21B	s41396
25942	1	B03	-1.24	391	474	0.0945490832391982	1	3	3	100	25942	SIN3A	s24800
25942	3	B03	-1.01	392	594	0.0945490832391982	1	3	3	100	25942	SIN3A	s24799
25942	2	B03	-0.19	393	1296	0.0945490832391982	1	3	3	100	25942	SIN3A	s24801
255043	6	I07	-1.49	394	372	0.0950917122734787	1	2	3	67	255043	TMEM86B	s48601
255043	7	I07	-1.11	395	538	0.0950917122734787	1	2	3	67	255043	TMEM86B	s48602
10743	4	D13	-2.76	397	95	0.0968021741737402	1	3	3	100	10743	RAI1	s21107
56341	1	J15	-1.13	398	527	0.0977068193736441	1	3	3	100	56341	PRMT8	s32145
56341	2	J15	-1.09	399	550	0.0977068193736441	1	3	3	100	56341	PRMT8	s32144
4085	8	K14	-4.21	400	41	0.0978675924917398	1	3	3	100	4085	MAD2L1	s8393
4085	6	K14	-1.76	401	268	0.0978675924917398	1	3	3	100	4085	MAD2L1	s8391
4085	7	K14	-0.18	402	1305	0.0978675924917398	1	3	3	100	4085	MAD2L1	s8392
27314	8	J03	-1.05	403	576	0.0985404768311193	1	3	3	100	27314	RAB30	s26138
27314	7	J03	-0.2	404	1285	0.0985404768311193	1	3	3	100	27314	RAB30	s26137
27314	6	J03	-0.18	405	1306	0.0985404768311193	1	3	3	100	27314	RAB30	s26136
92840	6	M04	-1.19	407	498	0.0986949894449948	1	3	3	100	92840	REEP6	s41034
92840	8	M04	-1.08	408	555	0.0986949894449948	1	3	3	100	92840	REEP6	s41036
23165	7	D11	-1.07	410	564	0.100122519352035	1	3	3	100	23165	NUP205	s23176
23165	6	D11	-0.53	411	966	0.100122519352035	1	3	3	100	23165	NUP205	s23175
23165	8	D11	-0.17	412	1323	0.100122519352035	1	3	3	100	23165	NUP205	s23177
4674	2	N04	-3.61	413	50	0.101349977813509	1	2	3	67	4674	NAP1L2	s9270
4674	3	N04	-1.08	414	556	0.101349977813509	1	2	3	67	4674	NAP1L2	s9268
51322	4	K20	-2.26	416	167	0.102642649990615	1	3	3	100	51322	WAC	s27953
51322	5	L19	-1.08	417	557	0.102642649990615	1	3	3	100	51322	WAC	s27955
51322	5	K20	-0.16	418	1331	0.102642649990615	1	3	3	100	51322	WAC	s27954
3431	1	G11	-2.61	419	111	0.102688246783666	1	3	3	100	3431	SP110	s7144
3431	2	G11	-1.07	420	565	0.102688246783666	1	3	3	100	3431	SP110	s7146
59343	7	E12	-0.79	422	750	0.104501793535916	1	3	3	100	59343	SENP2	s34008
59343	8	E12	-0.67	423	850	0.104501793535916	1	3	3	100	59343	SENP2	s34009
59343	6	E12	-0.15	424	1338	0.104501793535916	1	3	3	100	59343	SENP2	s34007
23246	5	E17	-1.14	426	520	0.104735752775175	1	3	3	100	23246	BOP1	s23385
23246	4	E17	-0.8	427	747	0.104735752775175	1	3	3	100	23246	BOP1	s23384
23246	4	F17	-0.15	428	1339	0.104735752775175	1	3	3	100	23246	BOP1	s225940
8815	8	A05	-1.32	429	436	0.105675081657277	1	3	3	100	8815	BANF1	s16809
