UserName,TestId,TestName,TestDateTime,OperationId,OpTime,ProcName,Tip,SampleId,Rack,Well,SrcRack,SrcWell,Volume,ErrorText,Response Text
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,9026,1611,Replicate Plate MDT_1,2,SRC0002,CPF203AH,B1,CPF203AH,B1,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,9027,1611,Replicate Plate MDT_1,3,SRC0003,CPF203AH,C1,CPF203AH,C1,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,9028,1611,Replicate Plate MDT_1,4,SRC0004,CPF203AH,D1,CPF203AH,D1,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,9029,1611,Replicate Plate MDT_1,5,SRC0005,CPF203AH,E1,CPF203AH,E1,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,9030,1611,Replicate Plate MDT_1,6,SRC0006,CPF203AH,F1,CPF203AH,F1,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,9031,1611,Replicate Plate MDT_1,7,SRC0007,CPF203AH,G1,CPF203AH,G1,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,9032,1611,Replicate Plate MDT_1,8,SRC0008,CPF203AH,H1,CPF203AH,H1,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,9033,1611,Replicate Plate MDT_1,9,SRC0009,CPF203AH,A2,CPF203AH,A2,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,9034,1611,Replicate Plate MDT_1,10,SRC0010,CPF203AH,B2,CPF203AH,B2,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,9035,1611,Replicate Plate MDT_1,11,SRC0011,CPF203AH,C2,CPF203AH,C2,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,9036,1611,Replicate Plate MDT_1,12,SRC0012,CPF203AH,D2,CPF203AH,D2,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,9037,1611,Replicate Plate MDT_1,13,SRC0013,CPF203AH,E2,CPF203AH,E2,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,9038,1611,Replicate Plate MDT_1,14,SRC0014,CPF203AH,F2,CPF203AH,F2,35,,
